sno,title,totalCopies,availableCopies
2,Design enterprise applications with java 2 platform,14,2
3,Introduction to Expert System,17,3
4,Experiments in Java,19,4
5,Design of Unix OS,28,5
6,Object oriented modelling and design,29,6
7,Database System,30,7
8,Business data Communication,31,8
9,Data stuructures & algorithm analysis in C++,32,9
10,Genetic Algorithms,58,10
11,8086 family ,60,11
12,Microprocessor and Interfacing,137,12
13,Computer Organization,139,13
14,Computer Architecture and Organisation,140,14
15,Data Structure using C and C++,142,15
16,An introduction to Data Structure with Applications,143,16
17,Theory and Problems of Data Structure | S Lipschutz ,144,17
18,Data Communication and Distributed Networks,146,18
19,Oracle Application Server 10g,147,19
20,Operation Research,148,20
21,System Programming,149,21
22,Computer Graphics,150,22
23,Switching and Finite Automata Theory,151,23
24,Elements of the Theory OF Computation,152,24
25,Introduction to Algorithms,153,25
26,Data Architecture and Parallel Processing,154,26
27,Advanced Computer Architecture,155,27
28,System Simulation with Digital Computer,156,28
29,System Simulation,157,29
30,Capasility Maturity Model,158,30
31,The Design of Unix Operating System ,159,31
32,Fundamentals of Digital Image Processing,161,32
33,Data Compression Book,162,33
34,Indispensable PC Hardware Book,163,34
35,Upgrading and Repairing PC's ,164,35
36,Upgrading and Repairing PC's ,165,36
37,Software project management,3270,37
38,Software testing fundamentals,3340,38
39,Principles of Digital Communication System & Computer networks,3341,39
40,Beginning Linux Programming,3342,40
41,Bioinformatics,3343,41
42,Data modelling essentials,3344,42
43,Data mining with SQL server2005,3345,43
44,TCP & IP Analysis & troubleshooting toolkit,3346,44
45,Comdex computer course kit,3347,45
46,Principles of Mobile computing,3348,46
47,Visual basic 2005 programming,3349,47
48,Communication systems and network,3350,48
49,Operating systems,3351,49
50,Testing computer software,3352,50
51,Networking all in one desk reference,3354,51
52,Expert oracle database architecture,3355,52
53,Project Management,3363,53
54,Database management systems,3364,54
55,Operation research,3365,55
56,Computer Graphics and multimedia,3366,56
57,Decision support system & intelligent systems,3393,57
58,Unix shell programming,3410,58
59,Theory of automata formal lang. & computation,3412,59
60,Beginning database design,3413,60
61,Cobol programming,3414,61
62,Programming with C++,3415,62
63,Embedded systems,3417,63
64,System Programming & Operating Systems | DM Dhamdhere,3418,64
65,Sytem analysis & design methods,3419,65
66,Neural networks,3420,66
67,Software testing,3423,67
68,Upgrading and Repairing networks,3424,68
69,IPV6 network,3425,69
70,Data structure and algos in java,3427,70
71,Photoshop CS2,5672,71
72,Photoshop CS2,5673,72
73,Photoshop CS2,5674,73
74,Visual basic .Net programming,5675,74
75,Visual basic .Net programming,5676,75
76,Visual basic .Net programming,5677,76
77,PC upgrade and repair,5678,77
78,PC upgrade and repair,5679,78
79,PC upgrade and repair,5680,79
80,Visual Basic 6 Programming,5681,80
81,Visual Basic 6 Programming,5682,81
82,Visual Basic 6 Programming,5683,82
83,C++ Programming,5684,83
84,C++ Programming,5685,84
85,C++ Programming,5686,85
86,Professional C++,5687,86
87,Professional C++,5688,87
88,Professional C++,5689,88
89,CATIA for engineers and designer,5690,89
90,CATIA for engineers and designer,5691,90
91,CATIA for engineers and designer,5692,91
92,PC troubleshooting and repair,5693,92
93,PC troubleshooting and repair,5694,93
94,PC troubleshooting and repair,5695,94
95,Visual C++ 6 Programming,5696,95
96,Visual C++ 6 Programming,5697,96
97,Visual C++ 6 Programming,5698,97
98,Beginning PHP 5,5699,98
99,Beginning PHP 5,5700,99
100,Beginning PHP 5,5701,100
101,Beginning VB.Net 2003,5702,101
102,Beginning VB.Net 2003,5703,102
103,Beginning VB.Net 2003,5704,103
104,Beginning VB.Net 2003,5705,104
105,Beginning VB.Net 2003,5706,105
106,Beginning VB.Net 2003,5707,106
107,Illustrator CS2,5708,107
108,Illustrator CS2,5709,108
109,Illustrator CS2,5710,109
110,PHP 5 and MySQL,5712,110
111,PHP 5 and MySQL,5713,111
112,Photoshop CS2,5714,112
113,Photoshop CS2,5715,113
114,Photoshop CS2,5716,114
115,Redhat ,5717,115
116,Redhat ,5718,116
117,Redhat ,5719,117
118,Mananging and troubleshooting networks,5720,118
119,Mananging and troubleshooting networks,5721,119
120,Mananging and troubleshooting networks,5722,120
121,Mananging and troubleshooting networks,5723,121
122,Software Design,5724,122
123,Software Design,5725,123
124,Software Design,5726,124
125,Software Design,5727,125
126,Database management,5728,126
127,Database management,5729,127
128,Database management,5730,128
129,Database management,5731,129
130,Management information system,5732,130
131,Management information system,5733,131
132,Management information system,5734,132
133,Management information system,5735,133
134,Simulation modelling and analysis,5736,134
135,Simulation modelling and analysis,5737,135
136,Simulation modelling and analysis,5738,136
137,Simulation modelling and analysis,5739,137
138,E- Security and You,5740,138
139,E- Security and You,5741,139
140,E- Security and You,5742,140
141,E- Security and You,5743,141
142,Cryptography for visual Basic,5744,142
143,Cryptography for visual Basic,5745,143
144,Cryptography for visual Basic,5746,144
145,Cryptography for visual Basic,5747,145
146,Introduction to Computers,5748,146
147,Introduction to Computers,5749,147
148,Introduction to Computers,5750,148
149,Introduction to Computers,5751,149
150,System Analysis and Design,5752,150
151,System Analysis and Design,5753,151
152,System Analysis and Design,5755,152
153,Digital Logic Design Principles,5756,153
154,Digital Logic Design Principles,5757,154
155,Digital Logic Design Principles,5758,155
156,Digital Logic Design Principles,5759,156
157,Introduction to Programming and object oriented Design using Java,5760,157
158,Introduction to Programming and object oriented Design using Java,5761,158
159,Introduction to Programming and object oriented Design using Java,5762,159
160,Introduction to Programming and object oriented Design using Java,5763,160
161,Introduction to information technology,5764,161
162,Introduction to information technology,5765,162
163,Introduction to information technology,5766,163
164,Introduction to information technology,5767,164
165,8086 Microprocessor Programming and interfacing PC,5768,165
166,8086 Microprocessor Programming and interfacing PC,5769,166
167,8086 Microprocessor Programming and interfacing PC,5770,167
168,8086 Microprocessor Programming and interfacing PC,5771,168
169,Object Oriented Design and Patterns,5772,169
170,Object Oriented Design and Patterns,5773,170
171,Object Oriented Design and Patterns,5774,171
172,Object Oriented Design and Patterns,5775,172
173,Architecture of Computer Hardware and System Software,5776,173
174,Architecture of Computer Hardware and System Software,5777,174
175,Architecture of Computer Hardware and System Software,5778,175
176,Architecture of Computer Hardware and System Software,5779,176
177,Data Structure and Algorithms in java,5780,177
178,Data Structure and Algorithms in java,5781,178
179,Data Structure and Algorithms in java,5782,179
180,Data Structure and Algorithms in java,5783,180
181,Software Engineering,5784,181
182,Software Engineering,5785,182
183,Software Engineering,5786,183
184,Software Engineering,5787,184
185,Relational Database and SQL programming,5788,185
186,Relational Database and SQL programming,5790,186
187,Data Structure and Algorithms in C++,5792,187
188,Data Structure and Algorithms in C++,5793,188
189,Data Structure and Algorithms in C++,5794,189
190,Data Structure and Algorithms in C++,5795,190
191,Introduction to Computer Theory,5796,191
192,Introduction to Computer Theory,5797,192
193,Introduction to Computer Theory,5798,193
194,Introduction to Computer Theory,5799,194
195,Information Technology for management,5800,195
196,Information Technology for management,5801,196
197,Information Technology for management,5802,197
198,Information Technology for management,5803,198
199,Introduction to Language and Theory of Computation,5804,199
200,Introduction to Language and Theory of Computation,5805,200
201,Introduction to Language and Theory of Computation,5806,201
202,Introduction to Language and Theory of Computation,5807,202
203,Oracle database 10g The Complete Reference,5808,203
204,Oracle database 10g The Complete Reference,5809,204
205,Oracle database 10g The Complete Reference,5810,205
206,Oracle database 10g The Complete Reference,5811,206
207,Illustrator CS2,5812,207
208,Visual C++ 6 Programming,5813,208
209,VB.Net 2003,5814,209
210,Beginning PHP 5,5816,210
211,Operating System Concepts - Galvin,5817,211
212,Operating System Concepts - Galvin,5819,212
213,Operating System Concepts - Galvin,5820,213
214,Wireless Networks,5821,214
215,Wireless Networks,5822,215
216,Wireless Networks,5823,216
217,Wireless Networks,5824,217
